distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period)
0.628534704,69,28,7.5,0,10,77,5,29.85
0.397172233,69,28,7.5,0,10,70,0,29.89
0.165809769,69,28,7.5,0,10,33,0,29.91
0.065552689,69,28,7.5,0,10,21,3,29.89
